timestamp,tick,usedNodes,freeNodes
2024-04-29T08:09:58.004Z,1,0,100
2024-04-29T08:10:00.003Z,2,0,100
2024-04-29T08:10:02.003Z,3,0,100
2024-04-29T08:10:04.002Z,4,0,100
2024-04-29T08:10:06.003Z,5,0,100
2024-04-29T08:10:08.002Z,6,0,100
2024-04-29T08:10:10.002Z,7,0,100
2024-04-29T08:10:12.003Z,8,0,100
2024-04-29T08:10:14.003Z,9,0,100
2024-04-29T08:10:16.002Z,10,0,100
2024-04-29T08:10:18.002Z,11,0,100
2024-04-29T08:10:20.003Z,12,0,100
2024-04-29T08:10:22.001Z,13,0,100
2024-04-29T08:10:24.002Z,14,0,100
2024-04-29T08:10:26.002Z,15,0,100
2024-04-29T08:10:28.003Z,16,0,100
2024-04-29T08:10:30.002Z,17,0,100
2024-04-29T08:10:32.002Z,18,3,97
2024-04-29T08:10:34.003Z,19,6,94
2024-04-29T08:10:36.002Z,20,9,91
2024-04-29T08:10:38.003Z,21,14,86
2024-04-29T08:10:40.002Z,22,14,86
2024-04-29T08:10:42.002Z,23,14,86
2024-04-29T08:10:44.004Z,24,14,86
2024-04-29T08:10:46.002Z,25,14,86
2024-04-29T08:10:48.002Z,26,14,86
2024-04-29T08:10:50.003Z,27,14,86
2024-04-29T08:10:52.001Z,28,14,86
2024-04-29T08:10:54.003Z,29,14,86
2024-04-29T08:10:56.002Z,30,14,86
2024-04-29T08:10:58.003Z,31,14,86
2024-04-29T08:11:00.002Z,32,14,86
2024-04-29T08:11:02.002Z,33,14,86
2024-04-29T08:11:04.011Z,34,11,89
2024-04-29T08:11:06.017Z,35,11,89
2024-04-29T08:11:08.010Z,36,8,92
2024-04-29T08:11:10.004Z,37,13,87
2024-04-29T08:11:12.021Z,38,10,90
2024-04-29T08:11:14.002Z,39,20,80
2024-04-29T08:11:16.003Z,40,20,80
2024-04-29T08:11:18.002Z,41,20,80
2024-04-29T08:11:20.004Z,42,20,80
2024-04-29T08:11:22.002Z,43,20,80
2024-04-29T08:11:24.003Z,44,20,80
2024-04-29T08:11:26.002Z,45,20,80
2024-04-29T08:11:28.004Z,46,20,80
2024-04-29T08:11:30.003Z,47,20,80
2024-04-29T08:11:32.004Z,48,20,80
2024-04-29T08:11:34.019Z,49,15,85
2024-04-29T08:11:36.003Z,50,15,85
2024-04-29T08:11:38.002Z,51,15,85
2024-04-29T08:11:40.004Z,52,15,85
2024-04-29T08:11:42.022Z,53,10,90
2024-04-29T08:11:44.003Z,54,10,90
2024-04-29T08:11:46.020Z,55,0,100
2024-04-29T08:11:48.002Z,56,10,90
2024-04-29T08:11:50.004Z,57,10,90
2024-04-29T08:11:52.003Z,58,10,90
2024-04-29T08:11:54.002Z,59,10,90
2024-04-29T08:11:56.002Z,60,10,90
2024-04-29T08:11:58.004Z,61,10,90
2024-04-29T08:12:00.002Z,62,10,90
2024-04-29T08:12:02.002Z,63,10,90
2024-04-29T08:12:04.002Z,64,10,90
2024-04-29T08:12:06.002Z,65,10,90
2024-04-29T08:12:08.002Z,66,10,90
2024-04-29T08:12:10.002Z,67,10,90
2024-04-29T08:12:12.002Z,68,10,90
2024-04-29T08:12:14.002Z,69,10,90
2024-04-29T08:12:16.019Z,70,0,100
2024-04-29T08:12:18.003Z,71,10,90
2024-04-29T08:12:20.002Z,72,10,90
2024-04-29T08:12:22.001Z,73,10,90
2024-04-29T08:12:24.002Z,74,10,90
2024-04-29T08:12:26.002Z,75,10,90
2024-04-29T08:12:28.002Z,76,10,90
2024-04-29T08:12:30.002Z,77,10,90
2024-04-29T08:12:32.001Z,78,13,87
2024-04-29T08:12:34.002Z,79,18,82
